"type","representativity","norm_representativity","smell","quality"
"io.kubernetes.client.openapi.apis.AppsV1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AuthorizationV1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AuthorizationV1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AuthorizationV1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AutoscalingV1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AutoscalingV1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AutoscalingV1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AutoscalingV2Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AutoscalingV2Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AutoscalingV2Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.BatchV1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.BatchV1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.BatchV1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.CertificatesV1alpha1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1alpha1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1alpha1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.CertificatesV1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.CoordinationV1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoordinationV1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.CoordinationV1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.CoreV1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.CustomObjectsApi","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CustomObjectsApi","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.CustomObjectsApi","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.DiscoveryV1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.DiscoveryV1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.DiscoveryV1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.EventsV1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.EventsV1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.EventsV1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta3Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta3Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta3Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.InternalApiserverV1alpha1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.InternalApiserverV1alpha1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.InternalApiserverV1alpha1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.NetworkingV1alpha1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.NetworkingV1alpha1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.NetworkingV1alpha1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.NetworkingV1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.NetworkingV1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.NetworkingV1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.NodeV1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.NodeV1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.NodeV1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.PolicyV1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.PolicyV1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.PolicyV1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.RbacAuthorizationV1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.RbacAuthorizationV1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.RbacAuthorizationV1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.ResourceV1alpha2Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.ResourceV1alpha2Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.ResourceV1alpha2Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.SchedulingV1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.SchedulingV1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.SchedulingV1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.StorageV1Api","0,003","7.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.StorageV1Api","0,003","7.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.StorageV1Api","0,003","7.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AuthenticationV1alpha1Api","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AuthenticationV1alpha1Api","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AuthenticationV1Api","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AuthenticationV1Api","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AuthenticationV1beta1Api","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AuthenticationV1beta1Api","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.AdmissionregistrationV1WebhookClientConfig","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.AdmissionregistrationV1WebhookClientConfig","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.ApiextensionsV1WebhookClientConfig","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.ApiextensionsV1WebhookClientConfig","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.ApiregistrationV1ServiceReference","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.ApiregistrationV1ServiceReference","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.CoreV1EventList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.CoreV1EventList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.EventsV1EventList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.EventsV1EventList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1Affinity","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1Affinity","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1ClusterCIDRList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1ClusterCIDRList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1ClusterTrustBundleList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1ClusterTrustBundleList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1IPAddressList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1IPAddressList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1NamedRuleWithOperations","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1NamedRuleWithOperations","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1ServerStorageVersion","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1ServerStorageVersion","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1StorageVersionList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1StorageVersionList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1StorageVersionStatus","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1StorageVersionStatus","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyBindingList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyBindingList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyBindingSpec","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyBindingSpec","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyStatus","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyStatus","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha2AllocationResult","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2AllocationResult","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha2PodSchedulingContextList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2PodSchedulingContextList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimParametersReference","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimParametersReference","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimSpec","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimSpec","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimStatus","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimStatus","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimTemplateList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimTemplateList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClassList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClassList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1APIGroupList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1APIGroupList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1APIResourceList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1APIResourceList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1APIServiceList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1APIServiceList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1APIVersions","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1APIVersions","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1AzureFileVolumeSource","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1AzureFileVolumeSource","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta1NamedRuleWithOperations","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta1NamedRuleWithOperations","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyBindingList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyBindingList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyBindingSpec","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyBindingSpec","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyStatus","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyStatus","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta2FlowSchemaList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta2FlowSchemaList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta2FlowSchemaSpec","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta2FlowSchemaSpec","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta2PolicyRulesWithSubjects","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta2PolicyRulesWithSubjects","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta2PriorityLevelConfigurationList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta2PriorityLevelConfigurationList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta2PriorityLevelConfigurationSpec","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta2PriorityLevelConfigurationSpec","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta2QueuingConfiguration","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta2QueuingConfiguration","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta2ResourcePolicyRule","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta2ResourcePolicyRule","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta3FlowSchemaList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta3FlowSchemaList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta3FlowSchemaSpec","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta3FlowSchemaSpec","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta3PolicyRulesWithSubjects","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta3PolicyRulesWithSubjects","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta3PriorityLevelConfigurationList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta3PriorityLevelConfigurationList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta3PriorityLevelConfigurationSpec","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta3PriorityLevelConfigurationSpec","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta3QueuingConfiguration","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta3QueuingConfiguration","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta3ResourcePolicyRule","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta3ResourcePolicyRule","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CertificateSigningRequestList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CertificateSigningRequestList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ClusterRoleBindingList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ClusterRoleBindingList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ClusterRoleList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ClusterRoleList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ComponentStatus","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ComponentStatus","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ComponentStatusList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ComponentStatusList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ConfigMap","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ConfigMap","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ConfigMapKeySelector","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ConfigMapKeySelector","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ConfigMapList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ConfigMapList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ConfigMapProjection","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ConfigMapProjection","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ConfigMapVolumeSource","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ConfigMapVolumeSource","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1Container","0,002","4.0","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1Container","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ContainerState","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ContainerState","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ControllerRevisionList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ControllerRevisionList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CronJobList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CronJobList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CronJobStatus","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CronJobStatus","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CrossVersionObjectReference","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CrossVersionObjectReference","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CSIDriverList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CSIDriverList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CSINodeDriver","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CSINodeDriver","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CSINodeList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CSINodeList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CSIStorageCapacityList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CSIStorageCapacityList","0,002","4.0","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CustomResourceDefinitionList","0,002","4.0","Insufficient Modularization","Modularity, Maintainability"
