"method","line","smell","quality"
"io.kubernetes.client.openapi.apis.AutoscalingV2Api.deleteCollectionNamespacedHorizontalPodAutoscalerCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",318,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.BatchV1Api.deleteCollectionNamespacedCronJobCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",558,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.BatchV1Api.deleteCollectionNamespacedCronJobCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",558,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.BatchV1Api.deleteCollectionNamespacedCronJobCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",558,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.BatchV1Api.deleteCollectionNamespacedJobCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",924,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.BatchV1Api.deleteCollectionNamespacedJobCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",924,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.BatchV1Api.deleteCollectionNamespacedJobCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",924,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoordinationV1Api.deleteCollectionNamespacedLeaseCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",318,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoordinationV1Api.deleteCollectionNamespacedLeaseCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",318,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoordinationV1Api.deleteCollectionNamespacedLeaseCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",318,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedConfigMapCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",13657,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedConfigMapCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",13657,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedConfigMapCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",13657,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedEndpointsCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",14023,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedEndpointsCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",14023,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedEndpointsCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",14023,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedEventCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",14389,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedEventCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",14389,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedEventCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",14389,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedLimitRangeCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",14755,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedLimitRangeCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",14755,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedLimitRangeCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",14755,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedPersistentVolumeClaimCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",15121,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedPersistentVolumeClaimCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",15121,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedPersistentVolumeClaimCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",15121,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedPodCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",15487,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedPodCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",15487,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedPodCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",15487,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedPodTemplateCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",15853,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedPodTemplateCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",15853,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedPodTemplateCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",15853,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedReplicationControllerCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",16219,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedReplicationControllerCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",16219,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedReplicationControllerCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",16219,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedResourceQuotaCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",16585,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedResourceQuotaCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",16585,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedResourceQuotaCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",16585,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedSecretCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",16951,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedSecretCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",16951,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedSecretCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",16951,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedServiceCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",17317,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedServiceCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",17317,"Long Parameter List","Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedServiceCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",17317,"Complex Method","Maintainability, Understandability, Complexity"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedServiceAccountCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",17683,"Long Method","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api.deleteCollectionNamespacedServiceAccountCall(String namespace, String pretty, String _continue, String dryRun, String fieldSelector, Integer gracePeriodSeconds, String labelSelector, Integer limit, Boolean orphanDependents, String propagationPolicy, String resourceVersion, String resourceVersionMatch, Boolean sendInitialEvents, Integer timeoutSeconds, V1DeleteOptions body, final ApiCallback _callback)",17683,"Long Parameter List","Maintainability"
