"type","smell","quality"
"io.kubernetes.client.openapi.apis.AppsV1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AppsV1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AuthorizationV1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AuthorizationV1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AuthorizationV1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AutoscalingV1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AutoscalingV1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AutoscalingV1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AutoscalingV2Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.AutoscalingV2Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AutoscalingV2Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.BatchV1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.BatchV1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.BatchV1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.CertificatesV1alpha1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1alpha1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1alpha1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.CertificatesV1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.CertificatesV1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.CoordinationV1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoordinationV1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.CoordinationV1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.CoreV1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.CoreV1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.CustomObjectsApi","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.CustomObjectsApi","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.CustomObjectsApi","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.DiscoveryV1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.DiscoveryV1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.DiscoveryV1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.EventsV1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.EventsV1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.EventsV1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta2Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta3Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta3Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.FlowcontrolApiserverV1beta3Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.InternalApiserverV1alpha1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.InternalApiserverV1alpha1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.InternalApiserverV1alpha1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.NetworkingV1alpha1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.NetworkingV1alpha1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.NetworkingV1alpha1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.NetworkingV1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.NetworkingV1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.NetworkingV1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.NodeV1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.NodeV1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.NodeV1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.PolicyV1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.PolicyV1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.PolicyV1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.RbacAuthorizationV1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.RbacAuthorizationV1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.RbacAuthorizationV1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.ResourceV1alpha2Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.ResourceV1alpha2Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.ResourceV1alpha2Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.SchedulingV1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.SchedulingV1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.SchedulingV1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.StorageV1Api","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.apis.StorageV1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.StorageV1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AuthenticationV1alpha1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AuthenticationV1alpha1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AuthenticationV1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AuthenticationV1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.apis.AuthenticationV1beta1Api","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.apis.AuthenticationV1beta1Api","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.AdmissionregistrationV1WebhookClientConfig","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.AdmissionregistrationV1WebhookClientConfig","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.ApiextensionsV1WebhookClientConfig","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.ApiextensionsV1WebhookClientConfig","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.ApiregistrationV1ServiceReference","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.ApiregistrationV1ServiceReference","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.CoreV1EventList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.CoreV1EventList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.EventsV1EventList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.EventsV1EventList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1Affinity","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1Affinity","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1ClusterCIDRList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1ClusterCIDRList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1ClusterTrustBundleList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1ClusterTrustBundleList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1IPAddressList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1IPAddressList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1NamedRuleWithOperations","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1NamedRuleWithOperations","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1ServerStorageVersion","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1ServerStorageVersion","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1StorageVersionList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1StorageVersionList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1StorageVersionStatus","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1StorageVersionStatus","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyBindingList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyBindingList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyBindingSpec","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyBindingSpec","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyStatus","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyStatus","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha2AllocationResult","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2AllocationResult","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha2PodSchedulingContextList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2PodSchedulingContextList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimParametersReference","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimParametersReference","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimSpec","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimSpec","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimStatus","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimStatus","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimTemplateList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClaimTemplateList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClassList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha2ResourceClassList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1APIGroupList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1APIGroupList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1APIResourceList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1APIResourceList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1APIServiceList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1APIServiceList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1APIVersions","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1APIVersions","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1AzureFileVolumeSource","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1AzureFileVolumeSource","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta1NamedRuleWithOperations","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta1NamedRuleWithOperations","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyBindingList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyBindingList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyBindingSpec","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyBindingSpec","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyStatus","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyStatus","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta2FlowSchemaList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta2FlowSchemaList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta2FlowSchemaSpec","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta2FlowSchemaSpec","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta2PolicyRulesWithSubjects","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta2PolicyRulesWithSubjects","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta2PriorityLevelConfigurationList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta2PriorityLevelConfigurationList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta2PriorityLevelConfigurationSpec","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta2PriorityLevelConfigurationSpec","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta2QueuingConfiguration","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta2QueuingConfiguration","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta2ResourcePolicyRule","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta2ResourcePolicyRule","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta3FlowSchemaList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta3FlowSchemaList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta3FlowSchemaSpec","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta3FlowSchemaSpec","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta3PolicyRulesWithSubjects","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta3PolicyRulesWithSubjects","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta3PriorityLevelConfigurationList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta3PriorityLevelConfigurationList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta3PriorityLevelConfigurationSpec","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta3PriorityLevelConfigurationSpec","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta3QueuingConfiguration","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta3QueuingConfiguration","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta3ResourcePolicyRule","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta3ResourcePolicyRule","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CertificateSigningRequestList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CertificateSigningRequestList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ClusterRoleBindingList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ClusterRoleBindingList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ClusterRoleList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ClusterRoleList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ComponentStatus","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ComponentStatus","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ComponentStatusList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ComponentStatusList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ConfigMap","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ConfigMap","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ConfigMapKeySelector","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ConfigMapKeySelector","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ConfigMapList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ConfigMapList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ConfigMapProjection","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ConfigMapProjection","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ConfigMapVolumeSource","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ConfigMapVolumeSource","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1Container","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1Container","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ContainerState","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ContainerState","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ControllerRevisionList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ControllerRevisionList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CronJobList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CronJobList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CronJobStatus","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CronJobStatus","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CrossVersionObjectReference","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CrossVersionObjectReference","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CSIDriverList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CSIDriverList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CSINodeDriver","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CSINodeDriver","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CSINodeList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CSINodeList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CSIStorageCapacityList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CSIStorageCapacityList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CustomResourceDefinitionList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CustomResourceDefinitionList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CustomResourceDefinitionStatus","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CustomResourceDefinitionStatus","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1CustomResourceSubresourceScale","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1CustomResourceSubresourceScale","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1DaemonSetList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1DaemonSetList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1DeploymentList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1DeploymentList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1Endpoint","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1Endpoint","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1EndpointConditions","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1EndpointConditions","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1Endpoints","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1Endpoints","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1EndpointSliceList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1EndpointSliceList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1EndpointsList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1EndpointsList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1EndpointSubset","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1EndpointSubset","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1EnvFromSource","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1EnvFromSource","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1EnvVar","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1EnvVar","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1EphemeralContainer","God Class","Understandability, Maintainability"
"io.kubernetes.client.openapi.models.V1EphemeralContainer","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1GitRepoVolumeSource","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1GitRepoVolumeSource","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1GlusterfsVolumeSource","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1GlusterfsVolumeSource","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1HorizontalPodAutoscalerList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1HorizontalPodAutoscalerList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1HTTPIngressPath","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1HTTPIngressPath","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1IngressClassList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1IngressClassList","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1IngressList","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1IngressList","Multifaceted Abstraction","Cohesion"
